timestamp_utc,load_mw,load_missing_flag,wind_onshore_mw,wind_missing_flag_raw,wind_missing_flag_postfill,hour_of_day,day_of_week,month,day_of_year,sin_hour,cos_hour,sin_dow,cos_dow,sin_month,cos_month,load_lag_1,load_lag_24,load_lag_48,load_lag_168,load_rollmean_24,load_rollstd_24,target_available_for_training
2024-03-29 04:00:00+00:00,3228.455,0,755.19,0,0,4,4,3,89,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,3256.3500000000004,3352.235,3323.415,3235.775,,,1
2024-03-29 05:00:00+00:00,3273.925,0,738.53,0,0,5,4,3,89,0.9659258262890684,0.2588190451025207,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,3228.455,3396.185,3337.67,3295.155,,,1
2024-03-29 06:00:00+00:00,3414.21,0,716.645,0,0,6,4,3,89,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,3273.925,3629.965,3560.4300000000003,3564.6800000000003,,,1
2024-03-29 07:00:00+00:00,3703.305,0,675.365,0,0,7,4,3,89,0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,3414.21,4045.69,3978.34,4048.705,,,1
2024-03-29 08:00:00+00:00,3980.655,0,513.965,0,0,8,4,3,89,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,3703.305,4367.17,4316.6,4284.335,,,1
2024-03-29 09:00:00+00:00,4147.135,0,464.115,0,0,9,4,3,89,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,3980.655,4521.4,4544.985000000001,4288.405,,,1
2024-03-29 10:00:00+00:00,4163.344999999999,0,509.735,0,0,10,4,3,89,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,4147.135,,4534.245,4186.685,,,1
2024-03-29 11:00:00+00:00,4131.375,0,539.01,0,0,11,4,3,89,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,4163.344999999999,4408.84,4538.22,4136.31,,,1
2024-03-29 12:00:00+00:00,4115.605,0,533.69,0,0,12,4,3,89,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,4131.375,4401.465,4541.32,4155.435,,,1
2024-03-29 13:00:00+00:00,4068.735,0,593.345,0,0,13,4,3,89,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,4115.605,4348.365,4437.120000000001,4122.299999999999,,,1
2024-03-29 14:00:00+00:00,3976.345,0,651.5150000000001,0,0,14,4,3,89,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,4068.735,4251.719999999999,4335.565,4136.36,,,1
2024-03-29 15:00:00+00:00,3934.445,0,743.285,0,0,15,4,3,89,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,3976.345,4204.55,4349.875,4173.825000000001,,,1
2024-03-29 16:00:00+00:00,4025.93,0,777.835,0,0,16,4,3,89,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,3934.445,4283.425,4344.969999999999,4227.345,,,1
2024-03-29 17:00:00+00:00,4211.9,0,695.7249999999999,0,0,17,4,3,89,-0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,4025.93,4424.49,4543.764999999999,4396.514999999999,,,1
2024-03-29 18:00:00+00:00,4372.58,0,605.87,0,0,18,4,3,89,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,4211.9,,4667.25,4520.47,3919.013125,413.44364466349606,1
2024-03-29 19:00:00+00:00,4455.465,0,580.615,0,0,19,4,3,89,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,4372.58,4624.17,4784.620000000001,4695.825,3911.98375,402.21497568559073,1
2024-03-29 21:00:00+00:00,4160.36,0,671.03,0,0,21,4,3,89,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,4393.48,4463.715,4339.53,,,1
2024-03-29 22:00:00+00:00,3878.29,0,551.635,0,0,22,4,3,89,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,4160.36,4069.69,4115.38,4032.24,,,1
2024-03-29 23:00:00+00:00,3679.695,0,604.0150000000001,0,0,23,4,3,89,-0.2588190451025215,0.965925826289068,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,3878.29,3834.09,3862.39,3836.695,,,1
2024-03-30 00:00:00+00:00,3523.07,0,640.49,0,0,0,5,3,90,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,3679.695,3656.935,3661.185,3666.405,,,1
2024-03-30 01:00:00+00:00,3335.01,0,734.65,0,0,1,5,3,90,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,3523.07,3516.915,3492.6,3493.365,,,1
2024-03-30 02:00:00+00:00,3253.775,0,929.49,0,0,2,5,3,90,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,3335.01,3353.8,3416.44,3406.145,,,1
2024-03-30 03:00:00+00:00,3177.73,0,1165.025,0,0,3,5,3,90,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,3253.775,3256.3500000000004,3368.535,3328.7200000000003,,,1
2024-03-30 04:00:00+00:00,3106.11,0,1339.5700000000002,0,0,4,5,3,90,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,3177.73,3228.455,3352.235,3301.305,,,1
2024-03-30 05:00:00+00:00,3117.28,0,1584.815,0,0,5,5,3,90,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,3106.11,3273.925,3396.185,3269.375,,,1
2024-03-30 06:00:00+00:00,3166.0950000000003,0,1736.5,0,0,6,5,3,90,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,3117.28,3414.21,3629.965,3363.045,,,1
